"","block","start_meter","end_meter","formation_start","release_end","line","mean_occupation","release_end_assumed","buffer_to_next_train","following_train"
"1122","22_23_1",1566,2643,6280.91453769706,6354.33626241428,"s25_s_2",75.0556429820293,FALSE,NA,NA
"652","23_24_1",2643,3720,423.913672162891,512.854453568476,"ir46_s_1",86.7477157469194,FALSE,26.454887768019,"ice_s_1"
"132","23_24_1",2643,3720,539.309341336495,624.973861209109,"ice_s_1",86.7477157469194,FALSE,97.8749447884709,"ir70_s_1"
"688","23_24_1",2643,3720,722.84880599758,811.134335096608,"ir70_s_1",86.7477157469194,FALSE,22.4290843159981,"re_s_1"
"754","23_24_1",2643,3720,833.563419412606,913.55862684413,"re_s_1",86.7477157469194,FALSE,1190.35504531874,"ir_s_1"
"669","23_24_1",2643,3720,2103.91367216287,2192.85445356853,"ir_s_1",86.7477157469194,FALSE,31.0592185944329,"ir75_s_1"
"722","23_24_1",2643,3720,2223.91367216296,2312.85445356862,"ir75_s_1",86.7477157469194,FALSE,26.454887767864,"ic3_s_1"
"276","23_24_1",2643,3720,2339.30934133648,2424.97386120888,"ic3_s_1",86.7477157469194,FALSE,98.9398109540834,"rjx_s"
"8","23_24_1",2643,3720,2523.91367216296,2612.85445356862,"rjx_s",86.7477157469194,FALSE,87.0725841284766,"s25_s_1"
"1052","23_24_1",2643,3720,2699.92703769709,2785.8385124146,"s25_s_1",86.7477157469194,FALSE,1238.07515974836,"ic2_s_1"
"575","23_24_1",2643,3720,4023.91367216296,4112.85445356839,"ic2_s_1",86.7477157469194,FALSE,209.994352428855,"ir70_s_2"
"704","23_24_1",2643,3720,4322.84880599724,4411.13433509595,"ir70_s_2",86.7477157469194,FALSE,22.4290843168574,"re_s_2"
"896","23_24_1",2643,3720,4433.56341941281,4513.55862684435,"re_s_2",86.7477157469194,FALSE,1190.35504531844,"ec_s_1"
"114","23_24_1",2643,3720,5703.91367216278,5792.85445356796,"ec_s_1",86.7477157469194,FALSE,31.0592185948217,"ir75_s_2"
"738","23_24_1",2643,3720,5823.91367216278,5912.85445356796,"ir75_s_2",86.7477157469194,FALSE,26.4548877683164,"ic3_s_2"
"420","23_24_1",2643,3720,5939.30934133628,6024.97386120859,"ic3_s_2",86.7477157469194,FALSE,274.95317648851,"s25_s_2"
"1123","23_24_1",2643,3720,6299.9270376971,6385.83851241384,"s25_s_2",86.7477157469194,FALSE,NA,NA
"653","24_25_1",3720,4797,468.597006742066,542.41810356852,"ir46_s_1",73.2442633746856,FALSE,39.7432881430734,"ice_s_1"
"133","24_25_1",3720,4797,582.161391711593,653.325886209155,"ice_s_1",73.2442633746856,FALSE,113.839997526775,"ir70_s_1"
"689","24_25_1",3720,4797,767.16588373593,840.455660096656,"ir70_s_1",73.2442633746856,FALSE,31.0009667474212,"re_s_1"
"755","24_25_1",3720,4797,871.456626844077,942.637626844177,"re_s_1",73.2442633746856,FALSE,1205.95937989788,"ir_s_1"
"670","24_25_1",3720,4797,2148.59700674206,2222.41810356858,"ir_s_1",73.2442633746856,FALSE,46.1789031735689,"ir75_s_1"
"723","24_25_1",3720,4797,2268.59700674214,2342.41810356866,"ir75_s_1",73.2442633746856,FALSE,39.7432881429363,"ic3_s_1"
"277","24_25_1",3720,4797,2382.1613917116,2453.32588620868,"ic3_s_1",73.2442633746856,FALSE,115.271120533466,"rjx_s"
"9","24_25_1",3720,4797,2568.59700674214,2642.41810356866,"rjx_s",73.2442633746856,FALSE,98.5599088458775,"s25_s_1"
"1053","24_25_1",3720,4797,2740.97801241454,2817.34076241465,"s25_s_1",73.2442633746856,FALSE,1251.25624432749,"ic2_s_1"
"576","24_25_1",3720,4797,4068.59700674214,4142.41810356794,"ic2_s_1",73.2442633746856,FALSE,224.747780167566,"ir70_s_2"
"705","24_25_1",3720,4797,4367.16588373551,4440.45566009575,"ir70_s_2",73.2442633746856,FALSE,31.0009667485401,"re_s_2"
"897","24_25_1",3720,4797,4471.45662684429,4542.63762684439,"re_s_2",73.2442633746856,FALSE,1205.95937989758,"ec_s_1"
"115","24_25_1",3720,4797,5748.59700674197,5822.41810356752,"ec_s_1",73.2442633746856,FALSE,46.1789031744511,"ir75_s_2"
"739","24_25_1",3720,4797,5868.59700674197,5942.41810356752,"ir75_s_2",73.2442633746856,FALSE,39.743288143788,"ic3_s_2"
"421","24_25_1",3720,4797,5982.16139171131,6053.32588620839,"ic3_s_2",73.2442633746856,FALSE,287.652126205957,"s25_s_2"
"1124","24_25_1",3720,4797,6340.97801241434,6417.34076241341,"s25_s_2",73.2442633746856,FALSE,NA,NA
"654","25_26_1",4797,5874,498.391903568479,571.981753568568,"ir46_s_1",73.0728421872362,FALSE,38.7534326405329,"ice_s_1"
"134","25_26_1",4797,5874,610.7351862091,681.677911209201,"ice_s_1",73.0728421872362,FALSE,115.038648887399,"ir70_s_1"
"690","25_26_1",4797,5874,796.716560096599,869.776985096703,"ir70_s_1",73.0728421872362,FALSE,30.7586417474208,"re_s_1"
"756","25_26_1",4797,5874,900.535626844124,971.716626844224,"re_s_1",73.0728421872362,FALSE,1206.67527672429,"ir_s_1"
"671","25_26_1",4797,5874,2178.39190356852,2251.98175356862,"ir_s_1",73.0728421872362,FALSE,46.4101499999847,"ir75_s_1"
"724","25_26_1",4797,5874,2298.39190356861,2371.98175356871,"ir75_s_1",73.0728421872362,FALSE,38.7534326402015,"ic3_s_1"
